id,host_id,neighborhood_group,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,total_host_listings,availability_365,reviews_in_last_yr
14314,56246,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,99,30,179,1,98,0
14434,7356,Brooklyn,Bedford-Stuyvesant,40.68777,-73.94976,Private room,70,30,60,2,332,2
57166,272006,Queens,Ditmars Steinway,40.772472,-73.906075,Entire home/apt,149,3,104,1,302,40
103161,465278,Brooklyn,Williamsburg,40.71551,-73.96274,Entire home/apt,395,10,145,1,364,6
57297,199392,Brooklyn,Brooklyn Heights,40.69003,-73.99338,Entire home/apt,208,7,269,1,4,26
57618,274557,Manhattan,Hell's Kitchen,40.76505,-73.98716,Entire home/apt,250,3,122,1,0,7
15220,59734,Manhattan,Hell's Kitchen,40.75611,-73.99523,Private room,92,2,382,2,283,48
15341,60049,Manhattan,Lower East Side,40.721359,-73.993668,Entire home/apt,206,30,32,1,257,6
103311,417504,Brooklyn,Greenpoint,40.73778,-73.95366,Private room,728,2,9,30,91,0
103555,220001,Brooklyn,Fort Greene,40.693047,-73.971985,Entire home/apt,375,1,281,1,249,1
15385,60252,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,82,7,49,1,190,0
15396,60278,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,400,90,5,1,114,0
57754,275578,Manhattan,Flatiron District,40.74166,-73.9866,Entire home/apt,330,2,170,1,191,28
57874,276291,Manhattan,East Harlem,40.80747,-73.94076,Entire home/apt,160,3,340,2,218,55
58059,277379,Manhattan,Harlem,40.8238,-73.94444,Private room,60,1,615,2,235,51
105469,547386,Queens,Rockaway Beach,40.58603,-73.8145,Private room,114,2,17,1,90,1
58062,277394,Brooklyn,Windsor Terrace,40.65912,-73.9842,Private room,139,2,25,1,0,0
59014,282927,Manhattan,Lower East Side,40.71946,-73.98641,Entire home/apt,250,30,58,1,342,1
59121,204539,Queens,Ridgewood,40.70271,-73.8993,Entire home/apt,211,30,2,6,361,0
16326,63588,Brooklyn,Prospect Heights,40.67839,-73.96642,Entire home/apt,175,30,154,1,134,2
106363,551055,Manhattan,Harlem,40.82772,-73.95284,Private room,81,5,442,2,272,19
16338,63613,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,55,21,29,2,271,0
16580,64442,Manhattan,East Village,40.72489,-73.9781,Private room,166,2,473,2,134,47
59709,186084,Manhattan,Chinatown,40.7178,-73.9932,Entire home/apt,300,7,53,2,42,23
106647,552679,Brooklyn,Bedford-Stuyvesant,40.68647,-73.95862,Entire home/apt,150,2,123,1,38,14
60164,289653,Manhattan,Tribeca,40.72012,-74.00397,Entire home/apt,500,30,109,1,326,3
106906,553964,Brooklyn,Clinton Hill,40.68615,-73.96769,Entire home/apt,225,45,12,1,262,0
